"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RBFOX3",0,3.35259856627644,0.755,0.183,0,"Retinal ganglion cells","RBFOX3"
"EBF3",0,3.31229571373113,0.752,0.195,0,"Retinal ganglion cells","EBF3"
"SLIT1",0,3.17274428934745,0.648,0.118,0,"Retinal ganglion cells","SLIT1"
"CACNA1B",0,2.70796022768852,0.759,0.258,0,"Retinal ganglion cells","CACNA1B"
"PRUNE2",0,2.68825352852108,0.696,0.201,0,"Retinal ganglion cells","PRUNE2"
"ELAVL4",0,2.4917994034467,0.713,0.22,0,"Retinal ganglion cells","ELAVL4"
"ANK1",0,3.00956990223129,0.56,0.071,0,"Retinal ganglion cells","ANK1"
"NMNAT2",0,2.16991839053563,0.678,0.211,0,"Retinal ganglion cells","NMNAT2"
"SCN9A",0,2.16076846131059,0.638,0.172,0,"Retinal ganglion cells","SCN9A"
"SEZ6L",0,2.4215244737739,0.634,0.171,0,"Retinal ganglion cells","SEZ6L"
"NYAP2",0,2.09630698957462,0.64,0.185,0,"Retinal ganglion cells","NYAP2"
"MAPT",0,1.93984216929244,0.692,0.237,0,"Retinal ganglion cells","MAPT"
"GAP43",0,1.95150888178302,0.797,0.344,0,"Retinal ganglion cells","GAP43"
"POU6F2",0,2.85950038510547,0.859,0.41,0,"Retinal ganglion cells","POU6F2"
"RUNDC3B",0,2.18192179451519,0.629,0.183,0,"Retinal ganglion cells","RUNDC3B"
"KLHL1",0,2.60512236444834,0.729,0.284,0,"Retinal ganglion cells","KLHL1"
"SRRM3",0,2.05590112926149,0.695,0.25,0,"Retinal ganglion cells","SRRM3"
"GABBR2",0,1.6559765230543,0.668,0.226,0,"Retinal ganglion cells","GABBR2"
"SLC17A6",0,2.93880590425319,0.516,0.079,0,"Retinal ganglion cells","SLC17A6"
"ISL1",0,2.46087887605868,0.518,0.085,0,"Retinal ganglion cells","ISL1"
"BASP1-AS1",0,2.349023718545,0.559,0.128,0,"Retinal ganglion cells","BASP1-AS1"
"CACNA1A",0,1.91291211297758,0.735,0.304,0,"Retinal ganglion cells","CACNA1A"
"KCNH7",0,1.8658696807273,0.733,0.307,0,"Retinal ganglion cells","KCNH7"
"POU2F2",0,2.03106395291927,0.561,0.137,0,"Retinal ganglion cells","POU2F2"
"PTPRE",0,2.88533084875083,0.501,0.079,0,"Retinal ganglion cells","PTPRE"
"ASTN2",0,2.18560203736389,0.676,0.255,0,"Retinal ganglion cells","ASTN2"
"OLFM1",0,2.26065497140742,0.532,0.112,0,"Retinal ganglion cells","OLFM1"
"ADCY1",0,2.22447785093889,0.732,0.313,0,"Retinal ganglion cells","ADCY1"
"MYT1L",0,2.19395788948862,0.696,0.277,0,"Retinal ganglion cells","MYT1L"
"ELAVL3",0,1.64124632979323,0.621,0.204,0,"Retinal ganglion cells","ELAVL3"
"ELAVL2",0,1.85863911641252,0.757,0.34,0,"Retinal ganglion cells","ELAVL2"
"AL445623.2",0,2.16460125413901,0.555,0.139,0,"Retinal ganglion cells","AL445623.2"
"SLC18A2",0,2.37038867851105,0.531,0.12,0,"Retinal ganglion cells","SLC18A2"
"CHRNB3",0,3.03525855627946,0.446,0.042,0,"Retinal ganglion cells","CHRNB3"
"GNAO1",0,2.26649610152452,0.5,0.099,0,"Retinal ganglion cells","GNAO1"
"PHACTR3",0,1.95784619952002,0.533,0.133,0,"Retinal ganglion cells","PHACTR3"
"HECW1",0,1.20684437608263,0.692,0.293,0,"Retinal ganglion cells","HECW1"
"FSTL4",0,2.91972063993468,0.742,0.346,0,"Retinal ganglion cells","FSTL4"
"MYO1D",0,1.79084707879188,0.619,0.225,0,"Retinal ganglion cells","MYO1D"
"EPHB1",0,2.20618376873156,0.694,0.301,0,"Retinal ganglion cells","EPHB1"
"CLSTN2",0,2.37557012406014,0.642,0.252,0,"Retinal ganglion cells","CLSTN2"
"LINC02223",0,2.54412693029525,0.473,0.086,0,"Retinal ganglion cells","LINC02223"
"ADAM11",0,3.03899061220437,0.447,0.06,0,"Retinal ganglion cells","ADAM11"
"PLCB1",0,1.97709971033654,0.671,0.285,0,"Retinal ganglion cells","PLCB1"
"GPR156",0,3.27982990725835,0.442,0.056,0,"Retinal ganglion cells","GPR156"
"NRP1",0,1.8174623234933,0.689,0.304,0,"Retinal ganglion cells","NRP1"
"FRMD3",0,1.87913466792951,0.57,0.187,0,"Retinal ganglion cells","FRMD3"
"NAV1",0,1.54805735788183,0.609,0.228,0,"Retinal ganglion cells","NAV1"
"NKAIN1",0,1.64914172666841,0.645,0.267,0,"Retinal ganglion cells","NKAIN1"
"HSPA12A",0,1.87984958048128,0.513,0.137,0,"Retinal ganglion cells","HSPA12A"
"LHFPL3",0,2.18233495867076,0.611,0.236,0,"Retinal ganglion cells","LHFPL3"
"MGAT4C",0,2.0482945073455,0.54,0.165,0,"Retinal ganglion cells","MGAT4C"
"NSG1",0,1.65038999576607,0.509,0.135,0,"Retinal ganglion cells","NSG1"
"MTUS2",0,2.89190504031798,0.728,0.354,0,"Retinal ganglion cells","MTUS2"
"CTIF",0,1.57296037451523,0.638,0.266,0,"Retinal ganglion cells","CTIF"
"ALCAM",0,2.23413915516341,0.601,0.23,0,"Retinal ganglion cells","ALCAM"
"CELF5",0,1.97586962844356,0.481,0.111,0,"Retinal ganglion cells","CELF5"
"RBPMS",0,2.61426354957339,0.867,0.499,0,"Retinal ganglion cells","RBPMS"
"ATP8A2",0,1.09014190552278,0.645,0.278,0,"Retinal ganglion cells","ATP8A2"
"NTRK3",0,2.74887292204484,0.462,0.095,0,"Retinal ganglion cells","NTRK3"
"TMEM163",0,2.49366817103282,0.47,0.104,0,"Retinal ganglion cells","TMEM163"
"SRCIN1",0,2.03935810234103,0.471,0.105,0,"Retinal ganglion cells","SRCIN1"
"GALNT14",0,2.45811415957794,0.465,0.1,0,"Retinal ganglion cells","GALNT14"
"REEP1",0,1.90582202359742,0.518,0.155,0,"Retinal ganglion cells","REEP1"
"VSTM2L",0,2.01180684039406,0.496,0.133,0,"Retinal ganglion cells","VSTM2L"
"UNC79",0,1.27109027522714,0.68,0.318,0,"Retinal ganglion cells","UNC79"
"SYT14",0,1.40539536442594,0.639,0.281,0,"Retinal ganglion cells","SYT14"
"LRP1B",0,1.93420117117185,0.711,0.354,0,"Retinal ganglion cells","LRP1B"
"DNER",0,1.52365668620623,0.616,0.259,0,"Retinal ganglion cells","DNER"
"NTNG1",0,2.58865161390042,0.671,0.315,0,"Retinal ganglion cells","NTNG1"
"HS3ST5",0,2.0225334692516,0.66,0.305,0,"Retinal ganglion cells","HS3ST5"
"CACNG5",0,1.87555335137018,0.491,0.136,0,"Retinal ganglion cells","CACNG5"
"GRIA2",0,1.0913427119655,0.649,0.295,0,"Retinal ganglion cells","GRIA2"
"ENOX1",0,1.33137294058037,0.705,0.354,0,"Retinal ganglion cells","ENOX1"
"FAR2",0,1.78487999441178,0.561,0.211,0,"Retinal ganglion cells","FAR2"
"PCSK2",0,1.41257566600924,0.641,0.292,0,"Retinal ganglion cells","PCSK2"
"PCNX2",0,1.38010936814949,0.615,0.266,0,"Retinal ganglion cells","PCNX2"
"SMPD3",0,1.22853175728411,0.528,0.18,0,"Retinal ganglion cells","SMPD3"
"DPYSL3",0,1.25314660767537,0.585,0.238,0,"Retinal ganglion cells","DPYSL3"
"KCTD16",0,1.59377196505518,0.769,0.425,0,"Retinal ganglion cells","KCTD16"
"SCN2A",0,1.51295144594042,0.492,0.149,0,"Retinal ganglion cells","SCN2A"
"FRY",0,1.39791538570276,0.579,0.238,0,"Retinal ganglion cells","FRY"
"PDE4DIP",0,1.76442892618364,0.657,0.317,0,"Retinal ganglion cells","PDE4DIP"
"NFASC",0,1.35753883527714,0.606,0.266,0,"Retinal ganglion cells","NFASC"
"EDIL3",0,1.62041320229753,0.835,0.495,0,"Retinal ganglion cells","EDIL3"
"PTPRN2",0,2.27163618665336,0.756,0.418,0,"Retinal ganglion cells","PTPRN2"
"PAM",0,1.56341410550802,0.724,0.386,0,"Retinal ganglion cells","PAM"
"SNTG1",0,2.16322810934349,0.554,0.217,0,"Retinal ganglion cells","SNTG1"
"CPNE4",0,1.89848489359298,0.565,0.229,0,"Retinal ganglion cells","CPNE4"
"PAK5",0,1.10718782807503,0.619,0.284,0,"Retinal ganglion cells","PAK5"
"RNF219-AS1",0,2.75204361530195,0.643,0.309,0,"Retinal ganglion cells","RNF219-AS1"
"LSS",0,1.68123861890662,0.539,0.207,0,"Retinal ganglion cells","LSS"
"GALNTL6",0,2.61983904285223,0.745,0.413,0,"Retinal ganglion cells","GALNTL6"
"CACNG4",0,1.37753084428494,0.552,0.221,0,"Retinal ganglion cells","CACNG4"
"HIVEP3",0,1.16865179640153,0.599,0.268,0,"Retinal ganglion cells","HIVEP3"
"FNDC5",0,2.1219876665305,0.417,0.088,0,"Retinal ganglion cells","FNDC5"
"CNTN2",0,3.18041656270797,0.427,0.099,0,"Retinal ganglion cells","CNTN2"
"GFRA2",0,2.37607128134975,0.402,0.075,0,"Retinal ganglion cells","GFRA2"
"STMN2",0,0.907188845515092,0.874,0.547,0,"Retinal ganglion cells","STMN2"
"RAPGEF4",0,1.64174453374084,0.464,0.139,0,"Retinal ganglion cells","RAPGEF4"
"GNG2",0,1.27535920480871,0.523,0.198,0,"Retinal ganglion cells","GNG2"
"MAST1",0,1.44332285058427,0.505,0.18,0,"Retinal ganglion cells","MAST1"
"PPP2R2B",0,1.33176956573749,0.576,0.252,0,"Retinal ganglion cells","PPP2R2B"
"SOBP",0,1.19085208740023,0.602,0.279,0,"Retinal ganglion cells","SOBP"
"AKAP6",0,1.83383453955214,0.844,0.521,0,"Retinal ganglion cells","AKAP6"
"CELF4",0,0.563349130917126,0.589,0.266,0,"Retinal ganglion cells","CELF4"
"GAB2",0,1.3032844117723,0.667,0.345,0,"Retinal ganglion cells","GAB2"
"DNM3",0,1.45401804296847,0.619,0.297,0,"Retinal ganglion cells","DNM3"
"KCNQ1",0,1.60305951307681,0.508,0.186,0,"Retinal ganglion cells","KCNQ1"
"DGKI",0,1.15142897343851,0.561,0.24,0,"Retinal ganglion cells","DGKI"
"WNK2",0,1.38323847640827,0.628,0.307,0,"Retinal ganglion cells","WNK2"
"SNCA",0,1.35026298280042,0.688,0.368,0,"Retinal ganglion cells","SNCA"
"DCX",0,1.10563542159045,0.571,0.252,0,"Retinal ganglion cells","DCX"
"LIN7A",0,1.69823824760759,0.439,0.121,0,"Retinal ganglion cells","LIN7A"
"MICAL3",0,1.49892050948173,0.61,0.292,0,"Retinal ganglion cells","MICAL3"
"ATCAY",0,1.43155078903454,0.479,0.161,0,"Retinal ganglion cells","ATCAY"
"CACNA1C",0,1.57509355011142,0.59,0.274,0,"Retinal ganglion cells","CACNA1C"
"ASXL3",0,1.07353256947702,0.585,0.269,0,"Retinal ganglion cells","ASXL3"
"GPI",0,1.61329438525783,0.475,0.159,0,"Retinal ganglion cells","GPI"
"NEFM",0,1.3267461660812,0.464,0.149,0,"Retinal ganglion cells","NEFM"
"CRMP1",0,1.15733124517846,0.735,0.422,0,"Retinal ganglion cells","CRMP1"
"ZBTB46",0,1.8384835698105,0.417,0.104,0,"Retinal ganglion cells","ZBTB46"
"KCNMA1",0,1.84741520247821,0.4,0.089,0,"Retinal ganglion cells","KCNMA1"
"OLFM2",0,1.67319982534493,0.444,0.133,0,"Retinal ganglion cells","OLFM2"
"EPB41L1",0,1.63694183685785,0.477,0.168,0,"Retinal ganglion cells","EPB41L1"
"RIT2",0,2.24390210921704,0.417,0.109,0,"Retinal ganglion cells","RIT2"
"GPR149",0,2.25309274805924,0.375,0.068,0,"Retinal ganglion cells","GPR149"
"PEX5L",0,1.09421040296489,0.696,0.389,0,"Retinal ganglion cells","PEX5L"
"NAV2",0,1.9173312368204,0.768,0.462,0,"Retinal ganglion cells","NAV2"
"SLC22A15",0,1.43006307285658,0.454,0.149,0,"Retinal ganglion cells","SLC22A15"
"ATP11A",0,1.77619789750634,0.463,0.158,0,"Retinal ganglion cells","ATP11A"
"BICDL1",0,1.48078352908297,0.43,0.125,0,"Retinal ganglion cells","BICDL1"
"KLF7",0,1.728327528779,0.809,0.505,0,"Retinal ganglion cells","KLF7"
"PODXL2",0,1.4469738466924,0.46,0.157,0,"Retinal ganglion cells","PODXL2"
"STARD13",0,1.81242475678667,0.491,0.188,0,"Retinal ganglion cells","STARD13"
"KAZN",0,1.98540305246009,0.75,0.448,0,"Retinal ganglion cells","KAZN"
"PRKCB",0,1.48948825747109,0.495,0.193,0,"Retinal ganglion cells","PRKCB"
"GABRB3",0,0.813938200844229,0.658,0.357,0,"Retinal ganglion cells","GABRB3"
"SCN7A",0,2.06068810235579,0.376,0.075,0,"Retinal ganglion cells","SCN7A"
"UCHL1",0,1.19907199753244,0.478,0.177,0,"Retinal ganglion cells","UCHL1"
"SYT7",0,1.63140803738701,0.428,0.127,0,"Retinal ganglion cells","SYT7"
"EPB41L3",0,1.23240522473047,0.625,0.324,0,"Retinal ganglion cells","EPB41L3"
"SEMA3E",0,2.34562234994871,0.384,0.084,0,"Retinal ganglion cells","SEMA3E"
"LRFN5",0,1.85947638224108,0.846,0.547,0,"Retinal ganglion cells","LRFN5"
"PLPPR3",0,1.39131707617824,0.474,0.176,0,"Retinal ganglion cells","PLPPR3"
"GRM3",0,2.4549815567653,0.364,0.067,0,"Retinal ganglion cells","GRM3"
"PDE4B",0,1.01964933799648,0.646,0.35,0,"Retinal ganglion cells","PDE4B"
"PRPH",0,1.38640404961359,0.402,0.106,0,"Retinal ganglion cells","PRPH"
"ALK",0,2.91223012768109,0.366,0.07,0,"Retinal ganglion cells","ALK"
"MTSS1",0,1.00307041749681,0.634,0.338,0,"Retinal ganglion cells","MTSS1"
"AFAP1",0,1.47400317714719,0.568,0.272,0,"Retinal ganglion cells","AFAP1"
"DOK6",0,0.970339837556702,0.631,0.336,0,"Retinal ganglion cells","DOK6"
"MYRIP",0,1.66058118437343,0.449,0.155,0,"Retinal ganglion cells","MYRIP"
"SNAP91",0,1.14710245220419,0.702,0.408,0,"Retinal ganglion cells","SNAP91"
"CORO2A",0,2.67674218119632,0.333,0.04,0,"Retinal ganglion cells","CORO2A"
"MEIS3",0,1.74018892730778,0.403,0.11,0,"Retinal ganglion cells","MEIS3"
"ZNF804A",0,1.38489529376553,0.87,0.578,0,"Retinal ganglion cells","ZNF804A"
"FBXL2",0,1.13365433757817,0.645,0.353,0,"Retinal ganglion cells","FBXL2"
"PLEKHA6",0,1.05927766616887,0.621,0.329,0,"Retinal ganglion cells","PLEKHA6"
"RBMS1",0,1.14785519320999,0.616,0.324,0,"Retinal ganglion cells","RBMS1"
"CLIP2",0,1.15348446375355,0.604,0.312,0,"Retinal ganglion cells","CLIP2"
"BRINP1",0,1.69483058080816,0.491,0.199,0,"Retinal ganglion cells","BRINP1"
"CACNA1E",0,2.57828912552086,0.34,0.05,0,"Retinal ganglion cells","CACNA1E"
"DACH2",0,1.51754525546091,0.711,0.421,0,"Retinal ganglion cells","DACH2"
"PRKCE",0,1.3434325622107,0.69,0.4,0,"Retinal ganglion cells","PRKCE"
"NOL4L",0,1.39563964015479,0.496,0.207,0,"Retinal ganglion cells","NOL4L"
"RAB3C",0,1.64833297275205,0.406,0.119,0,"Retinal ganglion cells","RAB3C"
"NLN",0,1.17008215193929,0.488,0.201,0,"Retinal ganglion cells","NLN"
"CPEB2",0,1.49535391608366,0.422,0.136,0,"Retinal ganglion cells","CPEB2"
"SLC38A1",0,0.969218671284602,0.606,0.32,0,"Retinal ganglion cells","SLC38A1"
"JPH4",0,2.16227319094361,0.34,0.055,0,"Retinal ganglion cells","JPH4"
"MARCH4",0,2.32348926943694,0.335,0.051,0,"Retinal ganglion cells","MARCH4"
"TNIK",0,0.896352472425552,0.66,0.376,0,"Retinal ganglion cells","TNIK"
"MCF2L",0,1.18381941115306,0.536,0.252,0,"Retinal ganglion cells","MCF2L"
"PCBP3",0,1.26259520573723,0.737,0.453,0,"Retinal ganglion cells","PCBP3"
"MCF2L2",0,2.06347576781038,0.373,0.09,0,"Retinal ganglion cells","MCF2L2"
"SYT4",0,1.18493504282905,0.468,0.185,0,"Retinal ganglion cells","SYT4"
"RALGPS1",0,1.13724774352456,0.525,0.243,0,"Retinal ganglion cells","RALGPS1"
"HIP1R",0,2.07113977740553,0.361,0.079,0,"Retinal ganglion cells","HIP1R"
"ISLR2",0,1.1564738190416,0.495,0.214,0,"Retinal ganglion cells","ISLR2"
"L1CAM",0,1.90015463070504,0.357,0.076,0,"Retinal ganglion cells","L1CAM"
"MROH1",0,2.07213411019938,0.354,0.073,0,"Retinal ganglion cells","MROH1"
"SVOP",0,1.73950654564929,0.377,0.097,0,"Retinal ganglion cells","SVOP"
"PPP1R1C",0,2.0807242618432,0.347,0.067,0,"Retinal ganglion cells","PPP1R1C"
"SEMA6D",0,1.67532647621263,0.828,0.548,0,"Retinal ganglion cells","SEMA6D"
"ZMAT4",0,1.93109245092152,0.397,0.118,0,"Retinal ganglion cells","ZMAT4"
"PITPNM2",0,2.31737818336131,0.337,0.058,0,"Retinal ganglion cells","PITPNM2"
"CA10",0,0.795616000975992,0.398,0.119,0,"Retinal ganglion cells","CA10"
"DCC",0,2.12656104256935,0.815,0.536,0,"Retinal ganglion cells","DCC"
"CNTN1",0,0.520535457296585,0.678,0.401,0,"Retinal ganglion cells","CNTN1"
"ADD2",0,0.699140843912073,0.588,0.311,0,"Retinal ganglion cells","ADD2"
"SLC1A2",0,1.76530445048323,0.36,0.083,0,"Retinal ganglion cells","SLC1A2"
"MTMR7",0,1.15014789392605,0.465,0.189,0,"Retinal ganglion cells","MTMR7"
"DPF3",0,1.06237182989546,0.483,0.207,0,"Retinal ganglion cells","DPF3"
"ASIC2",0,0.997618699636263,0.438,0.162,0,"Retinal ganglion cells","ASIC2"
"DSCAM",0,2.0475166761497,0.747,0.471,0,"Retinal ganglion cells","DSCAM"
"TOX2",0,1.15561787268617,0.572,0.296,0,"Retinal ganglion cells","TOX2"
"PHACTR1",0,1.13936485865898,0.797,0.522,0,"Retinal ganglion cells","PHACTR1"
"LINGO1",0,1.03973216821098,0.616,0.342,0,"Retinal ganglion cells","LINGO1"
"ARFGEF3",0,2.09107631960872,0.332,0.059,0,"Retinal ganglion cells","ARFGEF3"
"C14orf132",0,1.1357588822267,0.541,0.268,0,"Retinal ganglion cells","C14orf132"
"KCNH8",0,0.847275265208722,0.619,0.348,0,"Retinal ganglion cells","KCNH8"
"HMGCS1",0,1.06824276809171,0.629,0.358,0,"Retinal ganglion cells","HMGCS1"
"EPB41L4A",0,1.17702586022251,0.742,0.471,0,"Retinal ganglion cells","EPB41L4A"
"AGPAT4",0,1.06021781974276,0.628,0.357,0,"Retinal ganglion cells","AGPAT4"
"CDH13",0,2.61113970991226,0.4,0.13,0,"Retinal ganglion cells","CDH13"
"HDAC2-AS2",0,1.12852162452756,0.525,0.256,0,"Retinal ganglion cells","HDAC2-AS2"
"MVD",0,1.97589317161683,0.347,0.078,0,"Retinal ganglion cells","MVD"
"CNTN6",0,2.35510151051053,0.339,0.073,0,"Retinal ganglion cells","CNTN6"
"AC093879.1",0,1.11099165213781,0.404,0.139,0,"Retinal ganglion cells","AC093879.1"
"HCN1",0,0.960794751381343,0.515,0.25,0,"Retinal ganglion cells","HCN1"
"KCNQ1OT1",0,1.55017614436042,0.749,0.484,0,"Retinal ganglion cells","KCNQ1OT1"
"ANK3",0,1.55452914314539,0.852,0.587,0,"Retinal ganglion cells","ANK3"
"GRIN2B",0,2.40965184463999,0.319,0.054,0,"Retinal ganglion cells","GRIN2B"
"ZMIZ1",0,1.22130547222311,0.704,0.44,0,"Retinal ganglion cells","ZMIZ1"
"KIF5A",0,1.32080458658106,0.381,0.118,0,"Retinal ganglion cells","KIF5A"
"NRN1",0,1.94467899215279,0.309,0.047,0,"Retinal ganglion cells","NRN1"
"MYO6",0,1.03595396934549,0.489,0.227,0,"Retinal ganglion cells","MYO6"
"JAZF1",0,0.971851215481629,0.535,0.273,0,"Retinal ganglion cells","JAZF1"
"SRGAP1",0,1.09623445367913,0.775,0.513,0,"Retinal ganglion cells","SRGAP1"
"CCSER1",0,2.08495245002077,0.847,0.586,0,"Retinal ganglion cells","CCSER1"
"SHANK2",0,0.715142913855787,0.469,0.208,0,"Retinal ganglion cells","SHANK2"
"KCNQ2",0,1.72679085367055,0.342,0.082,0,"Retinal ganglion cells","KCNQ2"
"KIFAP3",0,1.02918374377108,0.51,0.251,0,"Retinal ganglion cells","KIFAP3"
"LINC00535",0,1.84503059717993,0.504,0.245,0,"Retinal ganglion cells","LINC00535"
"ATP9A",0,0.939154103244477,0.622,0.363,0,"Retinal ganglion cells","ATP9A"
"IL1RAPL1",0,1.53532762711061,0.689,0.43,0,"Retinal ganglion cells","IL1RAPL1"
"SPTAN1",0,1.0251975623507,0.589,0.33,0,"Retinal ganglion cells","SPTAN1"
"PIEZO2",0,1.79125687371692,0.431,0.173,0,"Retinal ganglion cells","PIEZO2"
"TMEFF2",0,1.80253980480102,0.366,0.109,0,"Retinal ganglion cells","TMEFF2"
"EBF1",0,2.35179166861603,0.949,0.692,0,"Retinal ganglion cells","EBF1"
"ABCA3",0,1.289185270214,0.404,0.147,0,"Retinal ganglion cells","ABCA3"
"CORO2B",0,0.891584104093371,0.637,0.381,0,"Retinal ganglion cells","CORO2B"
"MAP6",0,0.900951736477591,0.581,0.325,0,"Retinal ganglion cells","MAP6"
"ASTN1",0,0.963547182604956,0.685,0.43,0,"Retinal ganglion cells","ASTN1"
"ST6GAL1",0,0.93229435786766,0.505,0.25,0,"Retinal ganglion cells","ST6GAL1"
"KIAA1549L",0,1.23983047848071,0.449,0.194,0,"Retinal ganglion cells","KIAA1549L"
"RGS17",0,1.0073497078266,0.464,0.21,0,"Retinal ganglion cells","RGS17"
"C11orf80",0,1.00736616702371,0.634,0.38,0,"Retinal ganglion cells","C11orf80"
"CDH23",0,1.47033856732421,0.474,0.22,0,"Retinal ganglion cells","CDH23"
"SHISA6",0,2.46170950329815,0.446,0.192,0,"Retinal ganglion cells","SHISA6"
"LRRC7",0,1.42751131559362,0.381,0.128,0,"Retinal ganglion cells","LRRC7"
"PACS2",0,1.02424408404291,0.523,0.271,0,"Retinal ganglion cells","PACS2"
"FRMD5",0,0.999210188261308,0.674,0.423,0,"Retinal ganglion cells","FRMD5"
"FLNB",0,1.22271804167097,0.418,0.167,0,"Retinal ganglion cells","FLNB"
"APBB2",0,0.8047315745026,0.641,0.39,0,"Retinal ganglion cells","APBB2"
"AHDC1",0,1.25756832965328,0.426,0.176,0,"Retinal ganglion cells","AHDC1"
"RIMS1",0,0.502915301135392,0.757,0.507,0,"Retinal ganglion cells","RIMS1"
"KCNB2",0,0.670965775222192,0.734,0.484,0,"Retinal ganglion cells","KCNB2"
"KIF21A",0,0.833851708154349,0.655,0.405,0,"Retinal ganglion cells","KIF21A"
"KCND2",0,1.26839215613915,0.422,0.173,0,"Retinal ganglion cells","KCND2"
"IQSEC1",0,1.10064232203568,0.447,0.2,0,"Retinal ganglion cells","IQSEC1"
"CNTNAP2",0,1.26833326238519,0.849,0.602,0,"Retinal ganglion cells","CNTNAP2"
"APC2",0,1.03176037796488,0.443,0.196,0,"Retinal ganglion cells","APC2"
"PFKFB3",0,1.15063201436641,0.405,0.159,0,"Retinal ganglion cells","PFKFB3"
"SPTBN1",0,0.940545964080937,0.766,0.521,0,"Retinal ganglion cells","SPTBN1"
"CD24",0,0.945060058083922,0.424,0.179,0,"Retinal ganglion cells","CD24"
"RAB11FIP4",0,0.932439926936492,0.422,0.177,0,"Retinal ganglion cells","RAB11FIP4"
"ST6GAL2",0,1.37060388054316,0.389,0.145,0,"Retinal ganglion cells","ST6GAL2"
"ZFHX4-AS1",0,1.4826936224098,0.343,0.1,0,"Retinal ganglion cells","ZFHX4-AS1"
"DPYSL2",0,1.08668615011216,0.758,0.515,0,"Retinal ganglion cells","DPYSL2"
"APBA1",0,0.842856080615296,0.645,0.402,0,"Retinal ganglion cells","APBA1"
"PWRN1",0,1.38543261793374,0.376,0.133,0,"Retinal ganglion cells","PWRN1"
"RAP1GAP2",0,0.703699074776208,0.425,0.182,0,"Retinal ganglion cells","RAP1GAP2"
"UNC13A",0,1.24341837318681,0.371,0.129,0,"Retinal ganglion cells","UNC13A"
"NCAN",0,1.42895880938693,0.342,0.101,0,"Retinal ganglion cells","NCAN"
"DNAJC6",0,1.19741580670832,0.372,0.131,0,"Retinal ganglion cells","DNAJC6"
"SIPA1L2",0,1.37788105918614,0.369,0.128,0,"Retinal ganglion cells","SIPA1L2"
"KCNAB1",0,1.87644736548227,0.325,0.084,0,"Retinal ganglion cells","KCNAB1"
"MIR4300HG",0,3.1292654542638,0.318,0.077,0,"Retinal ganglion cells","MIR4300HG"
"SNRPN",0,1.34926194054955,0.371,0.13,0,"Retinal ganglion cells","SNRPN"
"RGS7",0,0.813017049756513,0.745,0.505,0,"Retinal ganglion cells","RGS7"
"KCNK10",0,1.70147259338336,0.314,0.076,0,"Retinal ganglion cells","KCNK10"
"SPTBN4",0,2.18807922193879,0.299,0.061,0,"Retinal ganglion cells","SPTBN4"
"SLC24A2",0,1.59578515370688,0.337,0.1,0,"Retinal ganglion cells","SLC24A2"
"AL133346.1",0,1.45647911686896,0.361,0.124,0,"Retinal ganglion cells","AL133346.1"
"ABCA5",0,1.0790085189658,0.432,0.195,0,"Retinal ganglion cells","ABCA5"
"PRKAR1B",0,1.14992703449339,0.41,0.174,0,"Retinal ganglion cells","PRKAR1B"
"XKR4",0,0.375270118732089,0.796,0.561,0,"Retinal ganglion cells","XKR4"
"AP3B2",0,1.16712038815509,0.395,0.161,0,"Retinal ganglion cells","AP3B2"
"TANC2",0,0.857449623816838,0.696,0.462,0,"Retinal ganglion cells","TANC2"
"PCSK1N",0,1.44546079570274,0.308,0.076,0,"Retinal ganglion cells","PCSK1N"
"ARRB1",0,1.67005477897186,0.317,0.085,0,"Retinal ganglion cells","ARRB1"
"LHFPL4",0,1.77356460996624,0.306,0.075,0,"Retinal ganglion cells","LHFPL4"
"RIMS2",0,1.4806446561916,0.863,0.632,0,"Retinal ganglion cells","RIMS2"
"FGF14",0,1.3542902542283,0.704,0.473,0,"Retinal ganglion cells","FGF14"
"RELN",0,0.44347971076931,0.796,0.566,0,"Retinal ganglion cells","RELN"
"SCG5",0,1.36488019526172,0.339,0.109,0,"Retinal ganglion cells","SCG5"
"NRXN2",0,1.45668898321325,0.318,0.088,0,"Retinal ganglion cells","NRXN2"
"RIMBP2",0,1.25463628229525,0.389,0.159,0,"Retinal ganglion cells","RIMBP2"
"BASP1",0,0.885349822499187,0.804,0.576,0,"Retinal ganglion cells","BASP1"
"SAMD3",0,2.46460389238219,0.28,0.052,0,"Retinal ganglion cells","SAMD3"
"NAV3",0,1.05536361522667,0.637,0.409,0,"Retinal ganglion cells","NAV3"
"CDH18",0,2.39837866058327,0.348,0.12,0,"Retinal ganglion cells","CDH18"
"WDR86",0,1.7992533744832,0.304,0.076,0,"Retinal ganglion cells","WDR86"
"NDRG4",0,1.24395411565741,0.351,0.123,0,"Retinal ganglion cells","NDRG4"
"KIAA0895L",0,1.50959959929758,0.341,0.114,0,"Retinal ganglion cells","KIAA0895L"
"CHRNA3",0,1.08192410699426,0.363,0.137,0,"Retinal ganglion cells","CHRNA3"
"UNC5C",0,1.28197660415325,0.68,0.455,0,"Retinal ganglion cells","UNC5C"
"CCDC3",0,1.48237524863997,0.313,0.089,0,"Retinal ganglion cells","CCDC3"
"GNAL",0,1.36810779641751,0.348,0.124,0,"Retinal ganglion cells","GNAL"
"NAGK",0,1.3567239781727,0.335,0.112,0,"Retinal ganglion cells","NAGK"
