"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RHPN21",2.43269496083082e-11,0.232871010018753,0.112,0.074,6.38387811621225e-07,"Retinal progenitors","RHPN2"
"ZNF277",2.44197450658433e-11,0.189700044084066,0.303,0.24,6.4082295001786e-07,"Retinal progenitors","ZNF277"
"ZNF79",2.61371616405651e-11,0.714298019786669,0.053,0.029,6.8589139577171e-07,"Retinal progenitors","ZNF79"
"RNF1211",2.73169390471032e-11,0.166903193013211,0.231,0.174,7.16851114474081e-07,"Retinal progenitors","RNF121"
"TRIT11",2.83625485243554e-11,0.100259055241753,0.269,0.208,7.44289998376134e-07,"Retinal progenitors","TRIT1"
"CALCOCO21",2.85506848391851e-11,0.320799384736294,0.09,0.057,7.49227071549894e-07,"Retinal progenitors","CALCOCO2"
"FMNL21",2.89253612134786e-11,0.116724378739373,0.78,0.659,7.59059328964105e-07,"Retinal progenitors","FMNL2"
"GAK1",3.03708248419946e-11,0.1197765125664,0.288,0.223,7.96991185503621e-07,"Retinal progenitors","GAK"
"MIER31",3.11330236164134e-11,0.136286833474326,0.141,0.099,8.16992805741921e-07,"Retinal progenitors","MIER3"
"COPS7B1",3.15462461600404e-11,0.226690956686457,0.1,0.065,8.2783659173178e-07,"Retinal progenitors","COPS7B"
"ADA",3.1708141793796e-11,1.38404433588426,0.015,0.005,8.32085056952793e-07,"Retinal progenitors","ADA"
"EBF41",3.45600399480602e-11,0.188411681612827,0.191,0.141,9.06924568316995e-07,"Retinal progenitors","EBF4"
"GUF12",3.46712853965097e-11,0.269001353603896,0.136,0.094,9.09843871375209e-07,"Retinal progenitors","GUF1"
"PPP1R10",3.56642986060734e-11,0.202812867004693,0.217,0.163,9.35902524020577e-07,"Retinal progenitors","PPP1R10"
"AL139021.11",3.74713022951238e-11,0.184999887896356,0.096,0.061,9.8332191482864e-07,"Retinal progenitors","AL139021.1"
"DIMT11",3.87510623259435e-11,0.438034012429276,0.076,0.046,1.01690537755741e-06,"Retinal progenitors","DIMT1"
"CASP22",3.91454969233335e-11,0.179608035644835,0.176,0.128,1.02725613026212e-06,"Retinal progenitors","CASP2"
"TCTEX1D1",3.9318776001917e-11,0.875895266874934,0.014,0.004,1.03180331984231e-06,"Retinal progenitors","TCTEX1D1"
"GALNS",3.97775877179445e-11,0.340770544948252,0.092,0.058,1.0438434568943e-06,"Retinal progenitors","GALNS"
"ATXN72",3.97806561342467e-11,0.156338323332622,0.135,0.093,1.0439239782749e-06,"Retinal progenitors","ATXN7"
"TRABD1",4.0918023002427e-11,0.351383910687462,0.081,0.05,1.07377075962969e-06,"Retinal progenitors","TRABD"
"RDH10-AS11",4.12794677086105e-11,0.281734896884511,0.071,0.042,1.08325579160936e-06,"Retinal progenitors","RDH10-AS1"
