Retinal progenitors,15303
Transitory,22244
Retinal ganglion cells,8008
Bipolar cells,7065
Horizontal cells,3970
Amacrine cells,18694
Cone precursors,6329
Cones,3845
Rods,15628
Muller glia,7133
Astrocytes,414
Microglia,205
